Price,Address,Metro,Summary,General Information,Building Information,Price per meter
6 250 000 ₽,"Москва, СВАО, р-н Марфино, Гостиничный проезд, 8К1",Окружная,"18,8 м²;Общая;13,8 м²;Жилая;2 м²;Кухня;4 из 5;Этаж;1955;Построен","Тип жилья;Вторичка Апартаменты;Высота потолков;2,2 м;Санузел;1 совмещенный;Ремонт;Косметический;Вид из окон;На улицу",Тип дома;Кирпичный;Лифты;Есть;Мусоропровод;Нет,332 447 ₽/м²
6 250 000 ₽,"Москва, СВАО, р-н Марфино, Гостиничный проезд, 8К1",Окружная,18 м²;Общая;13 м²;Жилая;2 м²;Кухня;4 из 5;Этаж;1955;Построен,"Тип жилья;Вторичка Апартаменты;Высота потолков;2,2 м;Санузел;1 совмещенный;Ремонт;Косметический;Вид из окон;На улицу",Тип дома;Кирпичный;Лифты;Есть;Мусоропровод;Нет,347 222 ₽/м²
6 255 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,14 м²;Общая;5 из 5;Этаж;1955;Построен,Тип жилья;Вторичка;Санузел;1 совмещенный;Ремонт;Косметический;Вид из окон;Во двор,Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет,446 786 ₽/м²
6 301 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,"18,2 м²;Общая;17 м²;Жилая;1,2 м²;Кухня;1 из 5;Этаж;1955;Построен","Тип жилья;Вторичка Апартаменты;Площадь комнат;18,2 м²;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;Во двор",Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет,346 209 ₽/м²
6 301 079 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,"18,1 м²;Общая;13 м²;Жилая;4 м²;Кухня;1 из 5;Этаж;1955;Построен",Тип жилья;Вторичка Апартаменты;Площадь комнат;13-12 м²;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;Во двор,Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет,348 126 ₽/м²
6 399 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,"16,8 м²;Общая;11 м²;Жилая;2 м²;Кухня;1 из 5;Этаж;1955;Построен",Тип жилья;Вторичка;Площадь комнат;11 м²;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;Во двор,Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет,380 893 ₽/м²
6 462 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,"16,5 м²;Общая;14,5 м²;Жилая;1 м²;Кухня;1 из 5;Этаж;1955;Построен","Тип жилья;Вторичка;Площадь комнат;14,5 м²;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;Во двор",Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет,391 636 ₽/м²
6 462 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,"16,5 м²;Общая;1 из 5;Этаж;1955;Построен",Тип жилья;Вторичка;Ремонт;Косметический;Вид из окон;Во двор,Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет,391 636 ₽/м²
6 700 000 ₽,"Москва, САО, р-н Хорошевский, Ленинградский просп., 47С2",Аэропорт,"18,4 м²;Общая;7,4 м²;Жилая;5 м²;Кухня;2 из 4;Этаж;1983;Построен","Тип жилья;Вторичка Апартаменты;Высота потолков;3,31 м;Санузел;1 совмещенный;Ремонт;Дизайнерский",Тип дома;Кирпичный;Парковка;Открытая,364 130 ₽/м²
6 690 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,"14,1 м²;Общая;7 м²;Жилая;2 м²;Кухня;4 из 5;Этаж;1955;Построен",Тип жилья;Вторичка;Площадь комнат;7 м²;Ремонт;Дизайнерский;Вид из окон;Во двор,Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет;Мусоропровод;Нет,474 468 ₽/м²
6 950 000 ₽,"Москва, НАО (Новомосковский), Филимонковское поселение, ул. Харлампиева, 44",Филатов Луг,"29,4 м²;Общая;7 м²;Кухня;7 из 12;Этаж;2019;Построен",Тип жилья;Вторичка;Санузел;1 совмещенный;Балкон/лоджия;1 лоджия;Ремонт;Дизайнерский,"Год постройки;2019;Лифты;1 пасс., 1 груз.;Аварийность;Нет;Парковка;Наземная",236 395 ₽/м²
7 100 000 ₽,"Москва, ЗАО, р-н Проспект Вернадского, просп. Вернадского, 41С1",Проспект Вернадского,"14,3 м²;Общая;5 м²;Кухня;6 из 10;Этаж;1988;Построен",Тип жилья;Вторичка Апартаменты;Санузел;1 совмещенный;Ремонт;Дизайнерский,Тип дома;Кирпичный,496 503 ₽/м²
7 150 000 ₽,"Москва, ТАО (Троицкий), Первомайское поселок, ул. Центральная, 6",Филатов Луг,"43,4 м²;Общая;26,2 м²;Жилая;5,7 м²;Кухня;1 из 4;Этаж",Тип жилья;Вторичка;Планировка;Смежная;Площадь комнат;16.2-10 м²;Санузел;1 совмещенный;Вид из окон;Во двор,Год постройки;1969;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;3;Отопление;Нет;Аварийность;Нет;Мусоропровод;Есть;Газоснабжение;Центральное,164 747 ₽/м²
7 278 975 ₽,"Москва, ВАО, р-н Соколиная гора, Щербаковская ул., 53К17",Измайлово,"37,7 м²;Общая;4 из 4;Этаж","Тип жилья;Вторичка Апартаменты;Высота потолков;3,9 м;Ремонт;Дизайнерский;Вид из окон;На улицу и двор",Тип дома;Кирпичный;Лифты;2 пасс.;Парковка;Наземная,193 076 ₽/м²
7 300 000 ₽,"Москва, ЗАО, р-н Очаково-Матвеевское, 2-й Очаковский пер., 7",Озерная,"27,3 м²;Общая;20 м²;Жилая;6 м²;Кухня;1 из 5;Этаж;1957;Построен",Тип жилья;Вторичка Апартаменты;Площадь комнат;20 м²;Санузел;1 совмещенный;Ремонт;Дизайнерский;Вид из окон;Во двор,Год постройки;1957;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;5;Лифты;Есть;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное,267 399 ₽/м²
7 500 000 ₽,"Москва, ЮЗАО, р-н Котловка, Нагорная ул., 29К4",Нагорная,28 м²;Общая;16 м²;Жилая;5 м²;Кухня;2 из 5;Этаж,Тип жилья;Вторичка;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;Во двор,Год постройки;1971;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;4;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное,267 857 ₽/м²
7 519 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,"19,2 м²;Общая;12 м²;Жилая;4 м²;Кухня;3 из 5;Этаж;1955;Построен",Тип жилья;Вторичка;Площадь комнат;14 м²;Санузел;1 совмещенный;Ремонт;Евроремонт;Вид из окон;Во двор,Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет,391 615 ₽/м²
7 600 000 ₽,"Москва, НАО (Новомосковский), Щербинка, ул. Люблинская, 5",,"28,6 м²;Общая;16 м²;Жилая;6,4 м²;Кухня;1 из 5;Этаж;1976;Построен","Тип жилья;Вторичка;Площадь комнат;16 м²;Высота потолков;2,5 м;Санузел;1 совмещенный;Ремонт;Косметический;Вид из окон;На улицу",Год постройки;1976;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;8;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное,265 734 ₽/м²
7 800 000 ₽,"Москва, НАО (Новомосковский), Сосенское поселение, Скандинавия жилой комплекс, ул. Эдварда Грига",,"25,7 м²;Общая;14,7 м²;Жилая;6 м²;Кухня;4 из 14;Этаж;4 кв. 2023;Срок сдачи;Без отделки;Отделка",,,303 502 ₽/м²
7 785 000 ₽,"Москва, ВАО, р-н Соколиная гора, Щербаковская ул., 53К17",Измайлово,38 м²;Общая;2 из 4;Этаж,"Тип жилья;Вторичка Апартаменты;Высота потолков;3,9 м;Санузел;1 совмещенный;Ремонт;Дизайнерский",Тип дома;Кирпичный;Лифты;2 пасс.;Парковка;Наземная,204 868 ₽/м²
7 850 000 ₽,"Москва, ВАО, р-н Северное Измайлово, ул. Константина Федина, 8",Щелковская,30 м²;Общая;17 м²;Жилая;6 м²;Кухня;2 из 5;Этаж,Тип жилья;Вторичка;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;Во двор,Год постройки;1958;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;4;Отопление;Центральное;Аварийность;Нет;Газоснабжение;Центральное,261 667 ₽/м²
8 000 000 ₽,"Москва, ВАО, р-н Богородское, Ивантеевская ул., 9А",Бульвар Рокоссовского,20 м²;Общая;3 из 5;Этаж;1955;Построен,Тип жилья;Вторичка;Санузел;1 совмещенный;Ремонт;Дизайнерский,Год постройки;1955;Тип дома;Кирпичный;Подъезды;2;Аварийность;Нет,400 000 ₽/м²
8 300 000 ₽,"Москва, САО, р-н Коптево, 3-й Михалковский пер., 13",Коптево,"28,2 м²;Общая;18 м²;Жилая;6 м²;Кухня;2 из 5;Этаж",Тип жилья;Вторичка;Площадь комнат;18 м²;Санузел;1 раздельный;Балкон/лоджия;1 балкон;Ремонт;Косметический;Вид из окон;Во двор,Год постройки;1973;Строительная серия;1-511;Тип дома;Кирпичный;Тип перекрытий;Железобетонные;Подъезды;6;Отопление;Центральное;Аварийность;Нет;Мусоропровод;Нет;Газоснабжение;Центральное,294 326 ₽/м²
